Program,Phase,Day,Exercise,Sets,Reps,RPE,Rest,Notes
Upper/Lower,Weeks 1-4,Upper Body #1,Dumbbell Supinated Curl,3,10,8,1-2 MIN,DRIVE YOUR PINKY INTO THE HANDLE HARDER THAN YOUR POINTER FINGER
Upper/Lower,Weeks 1-4,Upper Body #1,Single-Arm Rope Tricep Extension,3,12,8,1-2MIN,"PULL YOUR ARM BEHIND YOUR TORSO, DON'T MOVE YOUR UPPER ARM"
Upper/Lower,Weeks 1-4,Lower Body #2,Deadlift,3,8,7,3-4MIN,"BRACE YOUR LATS, CHEST TALL, HIPS HIGH, PULL THE SLACK OUT OF THE BAR PRIOR TO MOVING IT OFF THE GROUND"
Upper/Lower,Weeks 1-4,Lower Body #2,Dumbbell Walking Lunge,3,10,8,2-3MIN,"10 STEPS EACH LEG. TAKE MEDIUM STRIDES, LET YOUR TORSO LEAN FORWARD"
Upper/Lower,Weeks 1-4,Lower Body #2,Single Leg Leg Extension,3,15,8,1-2MIN,FOCUS ON SQUEEZING YOUR QUADS TO MAKE THE WEIGHT MOVE
Upper/Lower,Weeks 1-4,Lower Body #2,Single Leg Lying Leg Curl,3,15,8,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Upper/Lower,Weeks 1-4,Lower Body #2,Machine Seated Hip Abduction,3,15,9,1-2MIN,"KEEP YOUR BUTT IN THE SEAT, FOCUS ON SQUEEZING YOUR GLUTES TO MAKE THE WEIGHT MOVE"
Upper/Lower,Weeks 1-4,Lower Body #2,Standing Calf Raise,3,12,8,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Upper/Lower,Weeks 1-4,Lower Body #2,Plank,3,20SEC,8,1-2MIN,"SQUEEZE YOUR GLUTES, KEEP YOUR HIPS LOW"
Upper/Lower,Weeks 1-4,Upper Body #2,Dumbbell Incline Press,3,8,8,2-3MIN,KEEP YOUR SCAPULAE RETRACTED AND DEPRESSED
Upper/Lower,Weeks 1-4,Upper Body #2,Reverse Grip Lat Pulldown,3,8,8,2-3MIN,"PULL YOUR ELBOWS DOWN AGAINST YOUR SIDES, USE SHOULDER WIDTH GRIP"
Upper/Lower,Weeks 1-4,Upper Body #2,Assisted Dip,3,10,7,2-3MIN,"TUCK ELBOWS AT A 45 ANGLE, LEAN YOUR TORSO FORWARD 15"
Upper/Lower,Weeks 1-4,Upper Body #2,Barbell Bent Over Row,3,12,7,2-3MIN,"LEAN YOUR TORSO OVER AT A 45° ANGLE, KEEP YOUR LOWER BACK NEUTRAL, DOUBLE OVERHAND GRIP"
Upper/Lower,Weeks 1-4,Upper Body #2,Dumbbell Lateral Raise,3,15,8,1-2MIN,TILT THE DUMBBELL SUCH THAT YOUR PINKY COMES UP FIRST
Upper/Lower,Weeks 1-4,Upper Body #2,Seated Face Pull,3,15,8,1-2MIN,PULL YOUR ARMS BACK AND OUT
Upper/Lower,Weeks 1-4,Upper Body #2,Hammer Curl,3,8,9,1-2MIN,"NEUTRAL GRIP, PREVENT YOUR UPPER ARM FROM MOVING"
Upper/Lower,Weeks 5-8,Lower Body #1,Deadlift,3,5,8,3-4MIN,"BRACE YOUR LATS, CHEST TALL, HIPS HIGH, PULL THE SLACK OUT OF THE BAR PRIOR TO MOVING IT OFF THE GROUND"
Upper/Lower,Weeks 5-8,Lower Body #1,Goblet Squat,3,12,8,2-3MIN,"HOLD A DUMBBELL DIRECTLY UNDERNEATH YOUR CHIN, SIT BACK AND DOWN, PUSH YOUR KNEES OUT LATERALLY"
Upper/Lower,Weeks 5-8,Lower Body #1,Dumbbell Single-Leg Hip Thrust,3,10,9,2-3MIN,"PLACE THE DUMBBELL ON YOUR WORKING THIGH, TUCK YOUR CHIN AND RIB CAGE, ONLY MOVE YOUR HIPS"
Upper/Lower,Weeks 5-8,Lower Body #1,Leg Press,3,12,8,1-2MIN,"MEDIUM FEET PLACEMENT ON THE PLATFORM, DON'T ALLOW YOUR LOWER BACK TO ROUND"
Upper/Lower,Weeks 5-8,Lower Body #1,Lying Leg Curl,3,15,9,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Upper/Lower,Weeks 5-8,Lower Body #1,Standing Calf Raise,3,8,8,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Upper/Lower,Weeks 5-8,Lower Body #1,Bicycle Crunch,3,12,8,1-2MIN,"FOCUS ON FLEXING AND ROTATING YOUR SPINE, BRING YOUR LEFT ELBOW TO RIGHT KNEE, RIGHT ELBOW TO LEFT KNEE"
Upper/Lower,Weeks 5-8,Upper Body #1,Barbell Bench Press,3,8,8,3-4MIN,"TUCK ELBOWS AT A 45 ANGLE, SQUEEZE YOUR SHOULDER BLADES AND STAY FIRM ON THE BENCH"
Upper/Lower,Weeks 5-8,Upper Body #1,Single Arm Pulldown,3,8,8,2-3MIN,"START WITH YOUR NON-DOMINANT ARM, MATCH REPS WITH DOMINANT ARM"
Upper/Lower,Weeks 5-8,Upper Body #1,Dumbbell Seated Shoulder Press,3,12,7,2-3MIN,"BRING THE DUMBBELL ALL THE WAY DOWN TO YOUR SHOULDERS, KEEP YOUR TORSO UPRIGHT"
Upper/Lower,Weeks 5-8,Upper Body #1,Dumbbell Row,3,12,8,2-3MIN,"BRACE ONTO A BENCH FOR SUPPORT, PULL YOUR ELBOW AGAINST YOUR SIDES"
Upper/Lower,Weeks 5-8,Upper Body #1,Assisted Dip,3,6,8,1-2MIN,"TUCK ELBOWS AT A 45° ANGLE, LEAN YOUR TORSO FORWARD 15"
Upper/Lower,Weeks 5-8,Upper Body #1,Seated Face Pull,3,15,9,1-2MIN,PULL YOUR ARMS BACK AND OUT
Upper/Lower,Weeks 5-8,Upper Body #1,EZ Bar Curl,3,12,9,1-2MIN,PRESS YOUR PINKY INTO THE BAR HARDER THAN YOUR POINTER FINGER
Upper/Lower,Weeks 5-8,Lower Body #2,Back Squat,3,8,8,3-4MIN,"SIT BACK AND DOWN, 15° TOE FLARE, DRIVE YOUR KNEES OUT LATERALLY"
Upper/Lower,Weeks 5-8,Lower Body #2,Barbell Hip Thrust,3,8,8,2-3MIN,"TUCK YOUR CHIN AND RIB CAGE DOWN, ONLY MOVE YOUR HIPS. USE A PAD"
Upper/Lower,Weeks 5-8,Lower Body #2,Romanian Deadlift,3,12,8,2-3MIN,"MAINTAIN A NEUTRAL LOWER BACK, SET YOUR HIPS BACK, DON'T ALLOW YOUR SPINE TO ROUND"
Upper/Lower,Weeks 5-8,Lower Body #2,Seated Leg Curl,3,8,9,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Upper/Lower,Weeks 5-8,Lower Body #2,Standing Calf Raise,3,6,9,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Upper/Lower,Weeks 5-8,Lower Body #2,Hanging Leg Raise,3,6,8,1-2MIN,"FOCUS ON FLEXING YOUR LOWER BACK, PERFORM OFF OF CAPTAIN'S CHAIR"
Upper/Lower,Weeks 5-8,Lower Body #2,Machine Seated Hip Abduction,3,20,9,1-2MIN,"KEEP YOUR BUTT IN THE SEAT, FOCUS ON SQUEEZING YOUR GLUTES TO MAKE THE WEIGHT MOVE"
Upper/Lower,Weeks 5-8,Upper Body #2,Military Press,3,6,8,3-4MIN,"SQUEEZE YOUR GLUTES TO KEEP YOUR TORSO UPRIGHT, CLEAR YOUR HEAD OUT OF THE WAY, PRESS UP AND SLIGHTLY BACK"
Upper/Lower,Weeks 5-8,Upper Body #2,Neutral-Grip Pulldown,3,6,8,3-4MIN,PALMS FACING EACH OTHER. PULL YOUR ELBOWS AGAINST YOUR SIDES
Upper/Lower,Weeks 5-8,Upper Body #2,Dumbbell Incline Press,3,8,8,2-3MIN,KEEP YOUR SCAPULAE RETRACTED AND DEPRESSED
Upper/Lower,Weeks 5-8,Upper Body #2,Cable Seated Row,3,8,9,2-3MIN,"USE A V BAR GRIP, LET YOUR SCAPULAE PROTRACT DURING THE ECCENTRIC"
Upper/Lower,Weeks 5-8,Upper Body #2,Cable Lateral Raise,3,12,8,1-2MIN,"LEAN AWAY FROM THE MACHINE, ARMS STRAIGHT OUT TO YOUR SIDE"
Upper/Lower,Weeks 5-8,Upper Body #2,Reverse Pec Deck,3,12,8,1-2MIN,"PROTRACT YOUR SCAPULAE, SWEEP THE WEIGHT OUT AND BACK"
Upper/Lower,Weeks 5-8,Upper Body #2,Single-Arm Cable Curl,3,15,9,1-2MIN,"FACE AWAY FROM THE CABLE YOU ARE USING, KEEP YOUR ARM BEHIND YOUR TORSO"
Body Part Split,Weeks 1-4,Chest & Triceps,Barbell Bench Press,3,6,7,3-4MIN,"TUCK ELBOWS AT A 45 ANGLE, SQUEEZE YOUR SHOULDER BLADES AND STAY FIRM ON THE BENCH"
Body Part Split,Weeks 1-4,Chest & Triceps,Dumbbell Incline Press,3,8,8,2-3MIN,KEEP YOUR SCAPULAE RETRACTED AND DEPRESSED
Body Part Split,Weeks 1-4,Chest & Triceps,Cable Flye,3,12,8,1-2MIN,"KEEP YOUR SCAPULAE RETRACTED, FULL YOUR INNER ELBOWS TOGETHER (NOT YOUR HANDS)"
Body Part Split,Weeks 1-4,Chest & Triceps,Assisted Dip,3,10,7,1-2MIN,"TUCK ELBOWS AT A 45 ANGLE, LEAN YOUR TORSO FORWARD 15"
Body Part Split,Weeks 1-4,Chest & Triceps,Dumbbell Skull Crusher,3,12,8,1-2MIN,"KEEP YOUR ELBOWS INLINE WITH THE TOP OF YOUR HEAD, DON'T LET YOUR UPPER ARM MOVE"
Body Part Split,Weeks 1-4,Legs & Abs #1,Back Squat,3,6,7,3-4MIN,"SIT BACK AND DOWN, 15° TOE FLARE, DRIVE YOUR KNEES OUT LATERALLY"
Body Part Split,Weeks 1-4,Legs & Abs #1,Romanian Deadlift,3,8,7,2-3MIN,"MAINTAIN A NEUTRAL LOWER BACK, SET YOUR HIPS BACK, DON'T ALLOW YOUR SPINE TO ROUND"
Body Part Split,Weeks 1-4,Legs & Abs #1,Barbell Hip Thrust,3,12,8,2-3MIN,"TUCK YOUR CHIN AND RIB CAGE DOWN, ONLY MOVE YOUR HIPS, USE A PAD"
Body Part Split,Weeks 1-4,Legs & Abs #1,Leg Extension,3,12,8,1-2MIN,FOCUS ON SQUEEZING YOUR QUADS TO MAKE THE WEIGHT MOVE
Body Part Split,Weeks 1-4,Legs & Abs #1,Leg Curl,3,12,8,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Body Part Split,Weeks 1-4,Legs & Abs #1,Standing Calf Raise,2,8,7,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM DON'T BOUNCE"
Body Part Split,Weeks 1-4,Legs & Abs #1,Crunch,2,12,7,1-2MIN,"FOCUS ON FLEXING YOUR SPINE, DON'T YANK YOUR HEAD WITH YOUR ARMS"
Body Part Split,Weeks 1-4,Back & Biceps,Reverse Grip Lat Pulldown,3,8,8,2-3MIN,"PULL YOUR ELBOWS DOWN AGAINST YOUR SIDES, USE SHOULDER WIDTH GRIP"
Body Part Split,Weeks 1-4,Back & Biceps,Cable Seated Row,3,10,8,2-3MIN,USE A V-BAR GRIP LET YOUR SCAPULAE PROTRACT DURING THE ECCENTRIC
Body Part Split,Weeks 1-4,Back & Biceps,Chest-Supported T-Bar Row,3,12,8,2-3MIN,"RETRACT YOUR SCAPULAE DURING THE CONCENTRIC, PROTRACT YOUR SCAPULAE DURING THE ECCENTRIC"
Body Part Split,Weeks 1-4,Back & Biceps,Seated Face Pull,3,15,8,1-2MIN,PULL YOUR ARMS BACK AND OUT
Body Part Split,Weeks 1-4,Back & Biceps,Dumbbell Supinated Curl,3,12,8,1-2MIN,DRIVE YOUR PINKY INTO THE HANDLE HARDER THAN YOUR POINTER FINGER
Body Part Split,Weeks 1-4,Legs & Abs #2,Deadlift,3,5,7,3-4MIN,"BRACE YOUR LATS, CHEST TALL, HIPS HIGH, PULL THE SLACK OUT OF THE BAR PRIOR TO MOVING IT OFF THE GROUND"
Body Part Split,Weeks 1-4,Legs & Abs #2,Dumbbell Walking Lunge,3,10,8,2-3MIN,"10 STEPS EACH LEG. TAKE MEDIUM STRIDES, LET YOUR TORSO LEAN FORWARD"
Body Part Split,Weeks 1-4,Legs & Abs #2,Single-Leg Leg Extension,2,15,8,1-2MIN,FOCUS ON SQUEEZING YOUR QUADS TO MAKE THE WEIGHT MOVE
Body Part Split,Weeks 1-4,Legs & Abs #2,Single-Leg Lying Leg Curl,2,15,8,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Body Part Split,Weeks 1-4,Legs & Abs #2,Machine Seated Hip Abduction,3,15,7,1-2MIN,"KEEP YOUR BUTT IN THE SEAT, FOCUS ON SQUEEZING YOUR GLUTES TO MAKE THE WEIGHT MOVE"
Body Part Split,Weeks 1-4,Legs & Abs #2,Standing Calf Raise,2,12,8,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Body Part Split,Weeks 1-4,Legs & Abs #2,Plank,3,20SEC,8,1-2MIN,"SQUEEZE YOUR GLUTES, KEEP YOUR HIPS LOW"
Body Part Split,Weeks 1-4,Shoulders & Arms,Military Press,3,6,7,3-4MIN,"SQUEEZE YOUR GLUTES TO KEEP YOUR TORSO UPRIGHT, CLEAR YOUR HEAD OUT OF THE WAY, PRESS UP AND SLIGHTLY BACK"
Body Part Split,Weeks 1-4,Shoulders & Arms,Dumbbell Lateral Raise,3,12,8,1-2MIN,TILT THE DUMBBELL SUCH THAT YOUR PINKY COMES UP FIRST
Body Part Split,Weeks 1-4,Shoulders & Arms,Cable Reverse Flye,3,15,8,1-2MIN,"PROTRACT YOUR SCAPULAE, SWEEP THE WEIGHT OUT AND BACK"
Body Part Split,Weeks 1-4,Shoulders & Arms,Single-Arm Rope Tricep Extension,2,12,8,1-2MIN,"PULL YOUR ARM BEHIND YOUR TORSO, DON'T MOVE YOUR UPPER ARM"
Body Part Split,Weeks 1-4,Shoulders & Arms,Single-Arm Cable Curl,2,12,8,1-2MIN,"FACE AWAY FROM THE CABLE YOU ARE USING, KEEP YOUR ARM BEHIND YOUR TORSO"
Body Part Split,Weeks 5-8,Chest & Triceps,Barbell Bench Press,3,8,8,3-4MIN,"TUCK ELBOWS AT A 45° ANGLE, SQUEEZE YOUR SHOULDER BLADES AND STAY FIRM ON THE BENCH"
Body Part Split,Weeks 5-8,Chest & Triceps,Machine Incline Chest Press,3,12,8,2-3MIN,KEEP YOUR SCAPULAE RETRACTED AND DEPRESSED
Body Part Split,Weeks 5-8,Chest & Triceps,Pec Deck,3,12,8,1-2MIN,"KEEP YOUR SCAPULAE RETRACTED, PULL YOUR INNER ELBOWS TOGETHER (NOT YOUR HANDS)"
Body Part Split,Weeks 5-8,Chest & Triceps,Assisted Dip,3,6,8,1-2MIN,"TUCK ELBOWS AT A 45 ANGLE, LEAN YOUR TORSO FORWARD 15"
Body Part Split,Weeks 5-8,Chest & Triceps,Cable Tricep Kickback,3,15,8,1-2MIN,"KEEP YOUR ELBOWS BEHIND YOUR TORSO, DON'T LET YOUR UPPER ARM MOVE"
Body Part Split,Weeks 5-8,Legs & Abs #1,Deadlift,3,5,8,3-4MIN,"BRACE YOUR LATS, CHEST TALL, HIPS HIGH, PULL THE SLACK OUT OF THE BAR PRIOR TO MOVING IT OFF THE GROUND."
Body Part Split,Weeks 5-8,Legs & Abs #1,Goblet Squat,3,12,8,2-3MIN,"HOLD A DUMBBELL DIRECTLY UNDERNEATH YOUR CHIN, SIT BACK AND DOWN PUSH YOUR KNEES OUT LATERALLY"
Body Part Split,Weeks 5-8,Legs & Abs #1,Dumbbell Single-Leg Hip Thrust,3,10,9,2-3MIN,"PLACE THE DUMBBELL ON YOUR WORKING THIGH, TUCK YOUR CHIN AND RIB CAGE, ONLY MOVE YOUR HIPS"
Body Part Split,Weeks 5-8,Legs & Abs #1,Leg Press,3,12,8,1-2MIN,"MEDIUM FEET PLACEMENT ON THE PLATFORM, DON'T ALLOW YOUR LOWER BACK TO ROUND"
Body Part Split,Weeks 5-8,Legs & Abs #1,Lying Leg Curl,3,15,9,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Body Part Split,Weeks 5-8,Legs & Abs #1,Standing Calf Raise,3,8,8,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Body Part Split,Weeks 5-8,Legs & Abs #1,Bicycle Crunch,3,12,8,1-2MIN,"FOCUS ON FLEXING AND ROTATING YOUR SPINE, BRING YOUR LEFT ELBOW TO RIGHT KNEE, RIGHT ELBOW TO LEFT KNEE"
